path,size
doc/changelog/1.16.4-changelog.rst,2174
doc/changelog/1.16.5-changelog.rst,3060
doc/changelog/1.16.6-changelog.rst,1887
doc/changelog/1.17.0-changelog.rst,59866
doc/changelog/1.17.1-changelog.rst,3326
doc/changelog/1.17.2-changelog.rst,1243
doc/changelog/1.17.3-changelog.rst,1717
doc/changelog/1.17.4-changelog.rst,1222
doc/changelog/1.17.5-changelog.rst,1113
doc/changelog/1.18.0-changelog.rst,47063
doc/changelog/1.18.1-changelog.rst,1748
doc/changelog/1.18.2-changelog.rst,1068
doc/changelog/1.18.3-changelog.rst,954
doc/changelog/1.18.4-changelog.rst,966
doc/changelog/1.18.5-changelog.rst,515
doc/changelog/1.19.0-changelog.rst,54915
doc/changelog/1.19.1-changelog.rst,3086
doc/changelog/1.19.2-changelog.rst,1402
doc/changelog/1.19.3-changelog.rst,1483
doc/changelog/1.19.4-changelog.rst,487
doc/changelog/1.19.5-changelog.rst,1589
doc/changelog/1.20.0-changelog.rst,79248
doc/changelog/1.20.1-changelog.rst,2006
doc/changelog/1.20.2-changelog.rst,2577
doc/changelog/1.20.3-changelog.rst,2066
doc/changelog/1.21.0-changelog.rst,65862
doc/changelog/1.21.1-changelog.rst,3338
doc/changelog/1.21.2-changelog.rst,2410
doc/changelog/1.21.3-changelog.rst,1324
doc/changelog/1.21.4-changelog.rst,1379
doc/changelog/1.21.5-changelog.rst,1641
doc/changelog/1.21.6-changelog.rst,389
doc/changelog/1.22.0-changelog.rst,69326
doc/changelog/1.22.1-changelog.rst,2706
doc/changelog/1.22.2-changelog.rst,2839
doc/changelog/1.22.3-changelog.rst,1538
doc/changelog/1.22.4-changelog.rst,2770
doc/changelog/1.23.0-changelog.rst,56146
doc/changelog/1.23.1-changelog.rst,1321
doc/changelog/1.23.2-changelog.rst,2107
doc/changelog/1.23.3-changelog.rst,2028
doc/changelog/1.23.4-changelog.rst,1814
doc/changelog/1.23.5-changelog.rst,1482
doc/changelog/1.24.0-changelog.rst,52281
doc/changelog/1.24.1-changelog.rst,2449
doc/changelog/1.24.2-changelog.rst,2418
doc/changelog/1.24.3-changelog.rst,2423
doc/changelog/1.24.4-changelog.rst,991
doc/changelog/1.25.0-changelog.rst,60335
doc/changelog/1.25.1-changelog.rst,1958
doc/changelog/1.25.2-changelog.rst,2455
doc/changelog/1.26.0-changelog.rst,6991
doc/changelog/1.26.1-changelog.rst,2682
doc/changelog/1.26.2-changelog.rst,3262
doc/changelog/1.26.3-changelog.rst,5281
doc/changelog/1.26.4-changelog.rst,2525
doc/changelog/2.0.0-changelog.rst,121468
doc/changelog/2.0.1-changelog.rst,3187
doc/changelog/2.0.2-changelog.rst,2566
doc/changelog/2.1.0-changelog.rst,53345
doc/changelog/2.1.1-changelog.rst,1523
doc/changelog/2.1.2-changelog.rst,1963
doc/neps/.gitignore,86
doc/neps/Makefile,760
doc/neps/accepted.rst.tmpl,246
doc/neps/conf.py,5619
doc/neps/content.rst,637
doc/neps/deferred.rst.tmpl,234
doc/neps/finished.rst.tmpl,185
doc/neps/index.rst,798
doc/neps/meta.rst.tmpl,271
doc/neps/nep-0000.rst,11921
doc/neps/nep-0001-npy-format.rst,12080
doc/neps/nep-0002-warnfix.rst,2940
doc/neps/nep-0003-math_config_clean.rst,2910
doc/neps/nep-0004-datetime-proposal3.rst,19125
