label,count
"['component: numpy.ma', '50 - Duplicate']",2
"['01 - Enhancement', 'Priority: high', 'component: numpy._core']",2
"['01 - Enhancement', 'component: numpy.linalg', 'Patch']",2
"['component: numpy._core', 'component: documentation']",2
"['component: numpy.lib', 'Proposal']",2
"['component: numpy._core', '53 - Invalid']",2
"['00 - Bug', 'component: numpy._core', 'Priority: low']",2
"['00 - Bug', 'component: numpy.f2py', '57 - Close?']",2
"['00 - Bug', 'component: numpy._core', 'Embedded']",2
"['57 - Close?', '29 - Intel/Anaconda']",2
"['component: documentation', 'component: numpy.random']",2
"['15 - Discussion', '03 - Maintenance']",2
"['component: numpy.linalg', '03 - Maintenance']",2
"['00 - Bug', '24 - PyPy']",2
"['04 - Documentation', 'component: numpy.random', 'sprintable']",2
"['00 - Bug', '36 - Build']",2
"['05 - Testing', '03 - Maintenance']",2
"['01 - Enhancement', 'component: numpy.lib', '54 - Needs decision']",2
"['54 - Needs decision', '57 - Close?']",2
"['component: documentation', '57 - Close?']",2
"['01 - Enhancement', 'Numpy 2.0 API Changes']",2
"['01 - Enhancement', 'component: numpy._core', 'defunct — difficulty: Intermediate']",2
"['00 - Bug', 'component: numpy.ufunc', '29 - Intel/Anaconda']",2
"['01 - Enhancement', '05 - Testing']",2
"['Priority: high', 'component: numpy._core']",2
['component: benchmarks'],2
"['15 - Discussion', 'component: numpy._core', '07 - Deprecation']",2
"['57 - Close?', 'Embedded']",2
"['31 - Third-party binaries', '32 - Installation']",2
"['15 - Discussion', 'component: documentation']",2
"['component: build', 'Meson']",2
"['component: numpy.distutils', '50 - Duplicate']",2
"['06 - Regression', 'component: numpy.testing']",2
"['57 - Close?', '31 - Third-party binaries']",2
"['01 - Enhancement', '54 - Needs decision']",2
"['04 - Documentation', '63 - C API']",2
"['23 - Wish List', '57 - Close?']",2
"['00 - Bug', '14 - Release']",2
"['62 - Python API', 'Numpy 2.0 API Changes']",2
"['component: documentation', 'component: build']",2
"['57 - Close?', '53 - Invalid']",2
['Project'],2
['Meson'],2
"['32 - Installation', 'Static typing']",2
"['06 - Regression', 'triaged']",2
"['component: numpy.lib', '54 - Needs decision']",2
"['03 - Maintenance', 'component: build']",2
"['05 - Testing', 'component: build']",2
"['04 - Documentation', 'component: numpy.testing']",2
"['component: numpy.testing', '57 - Close?']",2
"['component: numpy._core', '33 - Question']",2
"['01 - Enhancement', '62 - Python API']",2
"['00 - Bug', '57 - Close?', '50 - Duplicate', 'component: numpy.dtype']",2
"['03 - Maintenance', 'Static typing']",2
"['00 - Bug', '06 - Regression', 'Priority: high', 'component: numpy.random']",2
"['04 - Documentation', 'component: numpy.datetime64']",2
"['24 - PyPy', 'component: CI']",2
"['01 - Enhancement', '23 - Wish List', 'component: numpy.dtype']",2
"['component: numpy.lib', '33 - Question']",2
"['53 - Invalid', '33 - Question']",2
"['50 - Duplicate', 'Embedded', '32 - Installation']",2
"['05 - Testing', 'component: CI']",2
"['component: numpy._core', '50 - Duplicate']",2
"['00 - Bug', 'component: numpy.distutils', '50 - Duplicate']",2
"['01 - Enhancement', 'component: numpy.ufunc']",2
"['01 - Enhancement', 'component: numpy.random', '50 - Duplicate']",2
"['57 - Close?', 'component: numpy.dtype']",2
"['03 - Maintenance', 'sprintable']",2
"['00 - Bug', 'component: numpy.distutils', 'component: SIMD', '36 - Build']",2
"['00 - Bug', 'component: SIMD', 'HWY']",2
"['01 - Enhancement', 'Priority: high', 'component: numpy.f2py']",2
"['17 - Task', 'component: numpy.linalg']",2
"['00 - Bug', 'component: numpy._core', '39 - free-threading']",2
"['17 - Task', '54 - Needs decision']",1
"['06 - Regression', 'component: numpy._core', 'component: Other']",1
"['17 - Task', 'component: numpy.random']",1
"['00 - Bug', '16 - Development', '06 - Regression']",1
"['04 - Documentation', 'component: numpy._core', 'component: numpy.dtype']",1
"['17 - Task', 'Priority: high', 'component: Other']",1
"['00 - Bug', 'Priority: high', 'component: documentation']",1
"['00 - Bug', 'component: numpy._core', '59 - Needs tests']",1
"['01 - Enhancement', '57 - Close?', 'component: numpy.dtype']",1
"['17 - Task', 'Priority: high', 'component: documentation']",1
"['component: numpy.linalg', 'Proposal', '64 - Good Idea']",1
"['component: documentation', '54 - Needs decision']",1
"['01 - Enhancement', 'component: numpy._core', 'component: documentation', '54 - Needs decision']",1
"['57 - Close?', '33 - Question', 'Static typing']",1
"['Embedded', '33 - Question']",1
"['component: numpy._core', 'Project']",1
"['01 - Enhancement', 'component: SIMD']",1
"['00 - Bug', 'component: numpy.matrixlib', '54 - Needs decision']",1
"['23 - Wish List', 'Proposal', 'component: numpy.dtype']",1
"['54 - Needs decision', 'Proposal', 'component: numpy.dtype']",1
"['17 - Task', 'Priority: high', '07 - Deprecation']",1
"['01 - Enhancement', 'component: documentation', '57 - Close?']",1
"['00 - Bug', 'Priority: high', 'component: numpy.testing']",1
"['00 - Bug', 'component: documentation', 'component: numpy.polynomial']",1
"['component: numpy._core', '54 - Needs decision', 'Proposal']",1
"['component: numpy.linalg', 'Proposal']",1
"['33 - Question', 'Static typing', 'component: numpy.array_api']",1
"['06 - Regression', 'component: SIMD']",1
"['01 - Enhancement', '50 - Duplicate']",1
"['component: numpy.ma', 'component: numpy.datetime64']",1
"['component: numpy._core', '07 - Deprecation']",1
"['00 - Bug', 'component: numpy._core', 'component: numpy.ufunc', 'sprintable']",1
"['00 - Bug', '50 - Duplicate', 'component: SIMD']",1
"['00 - Bug', 'component: numpy.ufunc', '26 - Compiler', 'sprintable']",1
"['33 - Question', 'component: SIMD']",1
"['57 - Close?', 'triage review']",1
"['component: numpy.fft', 'Numpy 2.0 API Changes']",1
"['component: numpy.lib', 'component: numpy.polynomial']",1
"['01 - Enhancement', 'Project']",1
"['23 - Wish List', '05 - Testing', 'Static typing']",1
"['04 - Documentation', '36 - Build']",1
"['04 - Documentation', '06 - Regression']",1
"['00 - Bug', 'component: numpy.ufunc', 'component: SIMD']",1
"['component: documentation', 'component: numpy.random', 'sprintable']",1
"['04 - Documentation', 'component: numpy.matrixlib', '07 - Deprecation']",1
"['50 - Duplicate', '33 - Question']",1
"['component: numpy.ma', 'sprintable']",1
"['01 - Enhancement', '04 - Documentation', 'Priority: low']",1
"['01 - Enhancement', '04 - Documentation', 'component: numpy.ufunc']",1
"['01 - Enhancement', '23 - Wish List', 'component: numpy.distutils']",1
"['01 - Enhancement', '23 - Wish List', '05 - Testing', 'Static typing']",1
"['component: numpy._core', 'component: numpy.dtype']",1
"['01 - Enhancement', '05 - Testing', 'Static typing']",1
['component: swig'],1
"['00 - Bug', '05 - Testing', 'component: CI']",1
"['57 - Close?', '29 - Intel/Anaconda', '33 - Question']",1
"['57 - Close?', 'component: numpy.dtype', '33 - Question']",1
"['component: CI', '33 - Question']",1
"['01 - Enhancement', '62 - Python API', 'Numpy 2.0 API Changes']",1
"['01 - Enhancement', 'component: distribution']",1
"['32 - Installation', '38 - Cross compilation']",1
"['57 - Close?', '26 - Compiler', '36 - Build']",1
"['57 - Close?', '28 - Benchmark', '33 - Question']",1
"['00 - Bug', 'component: npy_math', 'component: build', '32 - Installation']",1
"['05 - Testing', 'component: SIMD', 'Static typing', '36 - Build']",1
"['component: build', 'component: SIMD']",1
"['01 - Enhancement', 'component: numpy.lib', 'component: numpy.datetime64']",1
"['26 - Compiler', '36 - Build']",1
"['component: numpy.random', '03 - Maintenance']",1
"['00 - Bug', '05 - Testing', '04 - Documentation']",1
"['23 - Wish List', 'Static typing']",1
"['component: documentation', '33 - Question']",1
"['component: numpy.distutils', '32 - Installation', 'component: SIMD']",1
"['01 - Enhancement', 'component: build', 'component: SIMD']",1
"['03 - Maintenance', '30 - API']",1
"['05 - Testing', '57 - Close?', 'Static typing']",1
"['01 - Enhancement', '28 - Benchmark']",1
"['57 - Close?', '24 - PyPy', '32 - Installation']",1
"['05 - Testing', 'component: numpy.linalg', '24 - PyPy']",1
"['01 - Enhancement', 'component: numpy.random', 'component: build']",1
"['component: numpy.lib', '03 - Maintenance', '30 - API']",1
"['04 - Documentation', 'component: numpy.lib', 'component: numpy.dtype']",1
"['15 - Discussion', 'Static typing']",1
"['15 - Discussion', '54 - Needs decision', '62 - Python API', 'Static typing']",1
"['00 - Bug', 'component: swig']",1
['38 - Cross compilation'],1
"['04 - Documentation', '32 - Installation']",1
"['00 - Bug', 'component: numpy.ctypes']",1
"['50 - Duplicate', '32 - Installation']",1
"['36 - Build', 'Meson']",1
"['component: numpy.random', '57 - Close?']",1
"['04 - Documentation', '57 - Close?', 'Priority: low', 'Static typing']",1
"['component: numpy.f2py', '36 - Build']",1
"['15 - Discussion', 'component: numpy._core', 'component: numpy.dtype', '30 - API']",1
"['00 - Bug', 'component: numpy.random', '26 - Compiler']",1
"['00 - Bug', 'Project']",1
['Embedded'],1
"['01 - Enhancement', 'component: build', 'Meson']",1
"['32 - Installation', '36 - Build', 'Meson']",1
"['00 - Bug', '57 - Close?', 'Static typing']",1
"['04 - Documentation', '57 - Close?', 'component: npy_math']",1
"['01 - Enhancement', '57 - Close?', '33 - Question']",1
"['24 - PyPy', '32 - Installation']",1
"['04 - Documentation', '57 - Close?', '32 - Installation']",1
"['04 - Documentation', 'component: numpy.ufunc', 'component: __array_function__']",1
"['57 - Close?', '31 - Third-party binaries', '33 - Question']",1
"['14 - Release', '24 - PyPy']",1
"['17 - Task', '39 - free-threading']",1
"['03 - Maintenance', '39 - free-threading']",1
"['01 - Enhancement', '14 - Release', 'component: CI']",1
"['04 - Documentation', 'component: numpy._core', '07 - Deprecation', '50 - Duplicate']",1
"['57 - Close?', '32 - Installation', '38 - Cross compilation']",1
"['component: numpy.distutils', '57 - Close?', 'component: build']",1
"['01 - Enhancement', '15 - Discussion', 'component: numpy.lib']",1
"['15 - Discussion', 'component: numpy._core', '57 - Close?']",1
"['00 - Bug', '50 - Duplicate', 'component: numpy.dtype']",1
"['50 - Duplicate', '31 - Third-party binaries', '33 - Question']",1
"['04 - Documentation', 'Priority: low']",1
"['component: numpy.polynomial', '07 - Deprecation', 'sprintable']",1
"['04 - Documentation', 'component: numpy.lib', '07 - Deprecation', '62 - Python API']",1
"['01 - Enhancement', 'component: numpy._core', '07 - Deprecation']",1
"['14 - Release', '04 - Documentation', 'component: documentation']",1
"['01 - Enhancement', '03 - Maintenance']",1
"['07 - Deprecation', 'component: numpy.dtype']",1
"['03 - Maintenance', '63 - C API']",1
"['17 - Task', '04 - Documentation', 'component: documentation']",1
"['01 - Enhancement', 'component: NEP']",1
['60 - Major release'],1
"['14 - Release', '32 - Installation']",1
"['17 - Task', 'component: numpy.matrixlib', '07 - Deprecation', 'component: numpy.ufunc']",1
"['00 - Bug', 'Priority: high', 'component: SIMD']",1
"['00 - Bug', '15 - Discussion', 'component: numpy.ufunc', 'component: numpy.dtype']",1
"['00 - Bug', '05 - Testing', 'component: numpy.random']",1
"['01 - Enhancement', '04 - Documentation', 'Project', 'component: __array_function__']",1
"['component: numpy.lib', '57 - Close?']",1
"['component: numpy.fft', 'component: __array_function__', '29 - Intel/Anaconda']",1
"['01 - Enhancement', '15 - Discussion']",1
"['01 - Enhancement', 'Project', 'Numpy 2.0 API Changes']",1
"['57 - Close?', '50 - Duplicate', '33 - Question']",1
"['component: numpy.ufunc', 'component: numpy.dtype']",1
"['04 - Documentation', 'component: numpy.matrixlib']",1
"['00 - Bug', 'Priority: high', 'component: numpy.ufunc']",1
"['04 - Documentation', 'component: numpy.ma', '57 - Close?']",1
"['component: numpy.f2py', 'component: build']",1
"['03 - Maintenance', '07 - Deprecation']",1
"['04 - Documentation', 'component: numpy.lib', '03 - Maintenance']",1
"['00 - Bug', '04 - Documentation', 'component: numpy.ufunc']",1
['63 - C API'],1
"['15 - Discussion', 'Numpy 2.0 API Changes']",1
"['00 - Bug', '32 - Installation', 'Meson']",1
"['00 - Bug', 'triage review']",1
"['00 - Bug', '06 - Regression', 'component: numpy.distutils', 'component: numpy.f2py']",1
"['01 - Enhancement', 'component: numpy.linalg', '07 - Deprecation', '62 - Python API']",1
"['15 - Discussion', 'component: numpy.dtype']",1
"['15 - Discussion', '60 - Major release', 'component: numpy.dtype']",1
"['06 - Regression', 'component: numpy._core', 'triaged']",1
"['57 - Close?', 'component: numpy.einsum', '33 - Question']",1
"['component: build', '33 - Question']",1
"['component: numpy.f2py', 'Tracking / planning']",1
"['57 - Close?', 'component: numpy.ufunc']",1
"['01 - Enhancement', '57 - Close?', 'triage review']",1
"['17 - Task', '03 - Maintenance', 'Project']",1
"['00 - Bug', '36 - Build', 'C++']",1
"['00 - Bug', 'component: numpy.f2py', '53 - Invalid']",1
"['14 - Release', '54 - Needs decision']",1
"['component: numpy.linalg', '38 - Cross compilation']",1
"['03 - Maintenance', 'component: distribution']",1
"['component: numpy.lib', '54 - Needs decision', 'triage review']",1
"['component: numpy.random', '28 - Benchmark']",1
"['17 - Task', '05 - Testing', 'Static typing']",1
"['00 - Bug', '06 - Regression', 'component: numpy._core', 'component: numpy.lib']",1
"['50 - Duplicate', 'component: numpy.datetime64']",1
"['00 - Bug', 'defunct — difficulty: Intermediate', 'component: numpy.dtype']",1
"['04 - Documentation', 'component: __array_function__']",1
"['00 - Bug', 'component: numpy.distutils', 'component: distribution']",1
"['05 - Testing', 'component: numpy.einsum']",1
"['00 - Bug', '06 - Regression', 'triaged']",1
"['04 - Documentation', 'component: documentation', 'component: numpy.ufunc']",1
"['00 - Bug', 'component: numpy.lib', '56 - Needs Release Note.']",1
"['00 - Bug', 'component: numpy.random', '57 - Close?']",1
"['57 - Close?', 'component: build', '32 - Installation']",1
"['17 - Task', 'component: numpy._core', '07 - Deprecation', 'defunct — difficulty: Intermediate']",1
"['00 - Bug', '06 - Regression', 'component: numpy.dtype']",1
"['00 - Bug', '06 - Regression', 'component: numpy.ma', 'component: numpy.ufunc']",1
"['00 - Bug', '57 - Close?', '29 - Intel/Anaconda']",1
"['00 - Bug', 'defunct — difficulty: Intermediate']",1
"['00 - Bug', '15 - Discussion', 'component: numpy._core', '60 - Major release', 'component: numpy.dtype']",1
"['component: numpy.ma', '57 - Close?']",1
"['01 - Enhancement', '04 - Documentation', 'component: documentation']",1
"['00 - Bug', '04 - Documentation', 'component: numpy.f2py']",1
"['23 - Wish List', '62 - Python API']",1
"['component: numpy.random', 'component: CI']",1
"['05 - Testing', 'component: numpy.f2py']",1
"['component: numpy._core', '54 - Needs decision', 'component: numpy.array_api']",1
"['62 - Python API', '63 - C API', 'Tracking / planning']",1
"['Project', 'sprintable - C']",1
"['triage review', 'Numpy 2.0 API Changes']",1
"['00 - Bug', '06 - Regression', 'component: numpy.polynomial']",1
"['00 - Bug', '05 - Testing', 'component: numpy.polynomial', '24 - PyPy']",1
"['01 - Enhancement', 'component: numpy._core', 'component: numpy.dtype']",1
"['06 - Regression', 'component: numpy._core', '56 - Needs Release Note.']",1
"['component: documentation', 'component: numpy.ufunc']",1
"['00 - Bug', '15 - Discussion', 'component: numpy.ufunc']",1
"['01 - Enhancement', 'triaged']",1
"['00 - Bug', '07 - Deprecation', 'defunct — difficulty: Intermediate', 'component: numpy.dtype']",1
"['component: numpy.f2py', '29 - Intel/Anaconda']",1
"['component: build', '29 - Intel/Anaconda']",1
"['00 - Bug', '31 - Third-party binaries']",1
"['01 - Enhancement', '05 - Testing', '30 - API']",1
"['14 - Release', 'component: documentation']",1
"['04 - Documentation', 'component: documentation', 'component: numpy.dtype']",1
"['00 - Bug', '01 - Enhancement', 'component: numpy._core']",1
"['01 - Enhancement', 'defunct — difficulty: Intermediate']",1
"['15 - Discussion', 'component: numpy.random']",1
"['23 - Wish List', '04 - Documentation']",1
"['00 - Bug', 'component: numpy.dtype', 'component: numpy.datetime64']",1
"['01 - Enhancement', '23 - Wish List', '05 - Testing', 'component: numpy._core']",1
"['component: numpy.ma', '03 - Maintenance', '57 - Close?']",1
"['00 - Bug', 'sprintable - C', 'component: numpy.strings']",1
"['04 - Documentation', '50 - Duplicate', 'component: numpy.ufunc']",1
"['00 - Bug', 'component: documentation', 'component: numpy.dtype']",1
"['00 - Bug', '15 - Discussion', 'component: documentation']",1
"['00 - Bug', '15 - Discussion']",1
"['15 - Discussion', '04 - Documentation', 'component: numpy.f2py', '03 - Maintenance']",1
"['15 - Discussion', 'component: numpy.f2py', '54 - Needs decision', '03 - Maintenance']",1
"['05 - Testing', 'component: numpy.distutils', 'component: numpy.f2py', 'Meson']",1
"['04 - Documentation', 'Numpy 2.0 API Changes']",1
"['15 - Discussion', '07 - Deprecation', '57 - Close?', 'component: numpy.dtype']",1
"['01 - Enhancement', '23 - Wish List', '54 - Needs decision']",1
"['component: numpy._core', 'component: build']",1
"['00 - Bug', 'component: numpy.random', '54 - Needs decision']",1
"['component: numpy.random', '29 - Intel/Anaconda']",1
"['component: numpy.fft', '29 - Intel/Anaconda']",1
"['00 - Bug', '06 - Regression', 'component: numpy._core', 'component: numpy.dtype']",1
"['component: numpy.ma', '03 - Maintenance']",1
"['50 - Duplicate', '29 - Intel/Anaconda']",1
"['23 - Wish List', '15 - Discussion', '57 - Close?']",1
"['01 - Enhancement', '15 - Discussion', 'component: numpy.dtype']",1
"['00 - Bug', '06 - Regression', 'component: numpy.ufunc']",1
"['00 - Bug', '50 - Duplicate', 'component: numpy.ufunc']",1
"['57 - Close?', 'Numpy 2.0 API Changes']",1
