login,commits,percent_contribution
mdubravski,10,0.02928343436118188
rainwoodman,10,0.02928343436118188
skwbc,10,0.02928343436118188
jor-,9,0.02635509092506369
Licht-T,9,0.02635509092506369
bmakos,9,0.02635509092506369
dongjoon-hyun,9,0.02635509092506369
zjpoh,9,0.02635509092506369
toslunar,9,0.02635509092506369
pradghos,9,0.02635509092506369
sunqm,9,0.02635509092506369
saimn,9,0.02635509092506369
undermyumbrella1,9,0.02635509092506369
danielhrisca,9,0.02635509092506369
moreati,9,0.02635509092506369
walshb,9,0.02635509092506369
qwhelan,9,0.02635509092506369
stuartarchibald,9,0.02635509092506369
oscar139,8,0.023426747488945503
cjblocker,8,0.023426747488945503
danielballan,8,0.023426747488945503
bobeldering,8,0.023426747488945503
arunppsg,8,0.023426747488945503
greglucas,8,0.023426747488945503
ScoobyP,8,0.023426747488945503
neutrinoceros,8,0.023426747488945503
jdufresne,8,0.023426747488945503
Nodd,8,0.023426747488945503
kianasun,8,0.023426747488945503
dlax,8,0.023426747488945503
dimpase,8,0.023426747488945503
insertinterestingnamehere,8,0.023426747488945503
jakevdp,8,0.023426747488945503
rjeb,8,0.023426747488945503
rlamy,8,0.023426747488945503
liwt31,8,0.023426747488945503
ElDeveloper,8,0.023426747488945503
felixxm,8,0.023426747488945503
cdahlin,7,0.020498404052827317
ddale,7,0.020498404052827317
jwoehr,7,0.020498404052827317
lorentzenchr,7,0.020498404052827317
bwalshe,7,0.020498404052827317
b-carter,7,0.020498404052827317
i-am-b-soto,7,0.020498404052827317
aitikgupta,7,0.020498404052827317
Zac-HD,7,0.020498404052827317
yashmehrotra,7,0.020498404052827317
WeatherGod,7,0.020498404052827317
sistaseetaram,7,0.020498404052827317
sayantikabanik,7,0.020498404052827317
Androp0v,7,0.020498404052827317
rsokl,7,0.020498404052827317
mattharrigan,7,0.020498404052827317
molsonkiko,7,0.020498404052827317
lesteve,7,0.020498404052827317
Illviljan,7,0.020498404052827317
pizzathief,7,0.020498404052827317
